ta,tr,vel,rh,met,clo,clo_dynamic,pmv,ppd,ce,vr,set,LEED compliance
28.77333333333333,29.53327437565728,0.0679205806666666,48.0,1.0,0.57,0.57,1.3,40.2,0.0,0.0679205806666666,28.8,False
28.774,29.729657866991698,0.0411350193333333,48.0,1.0,0.57,0.57,1.33,41.9,0.0,0.0411350193333333,28.9,False
28.774666666666665,29.52034018920034,0.0478630393333333,48.0,1.0,0.57,0.57,1.3,40.1,0.0,0.0478630393333333,28.8,False
28.775,29.53377211856582,0.057704571,48.0,1.0,0.57,0.57,1.3,40.2,0.0,0.057704571,28.8,False
28.775333333333336,29.530181468543333,0.055130548,48.0,1.0,0.57,0.57,1.3,40.2,0.0,0.055130548,28.8,False
28.775666666666663,29.53947614643791,0.072362782,48.0,1.0,0.57,0.57,1.29,39.8,0.0,0.072362782,28.8,False
28.776333333333337,29.540860933367355,0.0765210093333333,48.0,1.0,0.57,0.57,1.28,39.2,0.0,0.0765210093333333,28.8,False
28.777,29.538463017938927,0.062909463,48.0,1.0,0.57,0.57,1.3,40.3,0.0,0.062909463,28.8,False
28.77733333333333,29.539678872071917,0.0613328596666666,48.0,1.0,0.57,0.57,1.3,40.3,0.0,0.0613328596666666,28.8,False
28.778,29.51264718728972,0.0439273276666666,48.0,1.0,0.57,0.57,1.3,40.0,0.0,0.0439273276666666,28.8,False
28.778,29.73354272074918,0.0409369249999999,48.0,1.0,0.57,0.57,1.33,42.0,0.0,0.0409369249999999,28.9,False
28.779,29.415456258361605,0.0467940073333333,48.0,1.0,0.57,0.57,1.28,39.2,0.0,0.0467940073333333,28.8,False
28.77933333333333,29.418816052656496,0.0488285096666666,48.0,1.0,0.57,0.57,1.28,39.2,0.0,0.0488285096666666,28.8,False
28.77933333333333,29.40482879369453,0.0473824643333333,48.0,1.0,0.57,0.57,1.28,39.1,0.0,0.0473824643333333,28.7,False
28.779666666666667,29.73389000320208,0.058603213,48.0,1.0,0.57,0.57,1.33,42.0,0.0,0.058603213,28.9,False
28.781,29.510963243448906,0.0584117193333333,48.0,1.0,0.57,0.57,1.3,40.1,0.0,0.0584117193333333,28.8,False
28.781,29.71275456806215,0.043275682,48.0,1.0,0.57,0.57,1.33,41.9,0.0,0.043275682,28.9,False
28.781666666666663,29.51068598316732,0.0422656833333333,48.0,1.0,0.57,0.57,1.3,40.1,0.0,0.0422656833333333,28.8,False
28.781666666666663,29.725464191275098,0.0373671383333333,48.0,1.0,0.57,0.57,1.33,42.0,0.0,0.0373671383333333,28.9,False
28.782666666666668,29.525276382226007,0.0483460426666666,48.0,1.0,0.57,0.57,1.3,40.2,0.0,0.0483460426666666,28.8,False
28.782666666666668,29.53282970637872,0.0535540813333333,48.0,1.0,0.57,0.57,1.3,40.3,0.0,0.0535540813333333,28.8,False
28.78333333333333,29.736176635339277,0.03657775,48.0,1.0,0.57,0.57,1.34,42.1,0.0,0.03657775,28.9,False
28.78333333333333,29.53669249837001,0.0535266483333333,48.0,1.0,0.57,0.57,1.3,40.3,0.0,0.0535266483333333,28.8,False
28.784666666666663,29.735456028882066,0.040641653,48.0,1.0,0.57,0.57,1.34,42.1,0.0,0.040641653,28.9,False
28.78533333333333,29.730081428349557,0.039122757,48.0,1.0,0.57,0.57,1.33,42.1,0.0,0.039122757,28.9,False
28.78533333333333,29.71963018523172,0.0398981436666666,48.0,1.0,0.57,0.57,1.33,42.0,0.0,0.0398981436666666,28.9,False
28.785666666666668,29.20697104395498,0.06619344,48.0,1.0,0.57,0.57,1.24,37.4,0.0,0.06619344,28.6,False
28.786666666666665,29.202444687531283,0.063490001,48.0,1.0,0.57,0.57,1.24,37.4,0.0,0.063490001,28.6,False
28.786666666666665,29.523114279425084,0.0596154273333333,48.0,1.0,0.57,0.57,1.3,40.2,0.0,0.0596154273333333,28.8,False
28.787333333333333,29.520977882448545,0.0598598306666666,48.0,1.0,0.57,0.57,1.3,40.2,0.0,0.0598598306666666,28.8,False
28.788,29.20079072182339,0.0608562173333333,48.0,1.0,0.57,0.57,1.24,37.4,0.0,0.0608562173333333,28.6,False
28.788666666666668,29.51477172472382,0.051574119,48.0,1.0,0.57,0.57,1.3,40.2,0.0,0.051574119,28.8,False
28.788666666666668,29.72763083561523,0.0558160946666666,48.0,1.0,0.57,0.57,1.33,42.1,0.0,0.0558160946666666,28.9,False
28.790000000000003,29.3978803476936,0.0489859049999999,48.0,1.0,0.57,0.57,1.28,39.1,0.0,0.0489859049999999,28.7,False
28.790000000000003,29.396315631106745,0.0460383746666666,48.0,1.0,0.57,0.57,1.28,39.1,0.0,0.0460383746666666,28.7,False
28.791,29.5038706502866,0.0511732113333333,48.0,1.0,0.57,0.57,1.3,40.1,0.0,0.0511732113333333,28.8,False
28.791333333333338,29.41170739394075,0.0601159599999999,48.0,1.0,0.57,0.57,1.28,39.3,0.0,0.0601159599999999,28.8,False
28.792,29.418850010777174,0.0606628643333333,48.0,1.0,0.57,0.57,1.28,39.3,0.0,0.0606628643333333,28.8,False
28.792333333333332,29.424315884191724,0.0580087413333333,48.0,1.0,0.57,0.57,1.28,39.4,0.0,0.0580087413333333,28.8,False
28.793333333333333,29.43261442626715,0.0669498996666666,48.0,1.0,0.57,0.57,1.28,39.5,0.0,0.0669498996666666,28.8,False
28.794,29.430500196883298,0.07095319,48.0,1.0,0.57,0.57,1.28,39.2,0.0,0.07095319,28.8,False
28.794666666666668,29.225457894598645,0.0737833983333333,48.0,1.0,0.57,0.57,1.23,36.9,0.0,0.0737833983333333,28.7,False
