Date & Time,T_air,T_globe,Air_speed,T_MRT,T_cl,T_OP,T_MOP
2025-03-14 09:15:00,28.981,29.179,0.062004528,29.32084228314085,31.26742184334521,29.150921141570425,25.425340686047537
2025-03-14 09:15:00,28.983,29.179,0.046184158,29.95338085482382,31.390569032079327,29.468190427411912,25.425340686047537
2025-03-14 09:15:00,28.983,29.179,0.061777903,29.31910260111931,31.269876466849983,29.151051300559658,25.425340686047537
2025-03-14 09:15:00,28.983,29.179,0.067895791,29.327263558742686,31.271769000026627,29.155131779371345,25.425340686047537
2025-03-14 09:15:00,28.983,29.18,0.066410567,29.32705489026324,31.27290422899844,29.155027445131623,25.425340686047537
2025-03-14 09:15:00,28.984,29.18,0.070287002,29.331371010944792,31.275372649036164,29.157685505472397,25.425340686047537
2025-03-14 09:15:00,28.984,29.18,0.061375007,29.319552656669146,31.273957416937687,29.151776328334574,25.425340686047537
2025-03-14 09:15:00,28.984,29.18,0.067820274,29.328163196374305,31.276439295143447,29.156081598187154,25.425340686047537
2025-03-14 09:15:00,28.984,29.18,0.062080069,29.320511678927232,31.275818971479307,29.152255839463617,25.425340686047537
2025-03-14 09:15:00,28.986,29.18,0.052458592,29.305721231928032,31.27460922277822,29.14586061596402,25.425340686047537
2025-03-14 09:15:00,28.986,29.182,0.043714073,29.956357909077383,31.399766758443196,29.471178954538694,25.425340686047537
2025-03-14 09:15:00,28.986,29.182,0.004344055,29.956357909077383,31.401277213456375,29.471178954538694,25.425340686047537
2025-03-14 09:15:00,28.987,29.182,0.001311482,29.951441325863357,31.400971296612084,29.469220662931676,25.425340686047537
2025-03-14 09:15:00,28.987,29.182,0.021895898,29.951441325863357,31.402313920251043,29.469220662931676,25.425340686047537
2025-03-14 09:15:00,28.987,29.182,0.047444267,29.951441325863357,31.40332088590283,29.469220662931676,25.425340686047537
2025-03-14 09:15:00,28.989,29.182,0.052458592,29.30707110506887,31.28164816300602,29.148035552534438,25.425340686047537
2025-03-14 09:15:00,28.989,29.184,0.048351489,29.953426125829992,31.40548070030679,29.471213062914998,25.425340686047537
2025-03-14 09:15:00,28.989,29.184,0.051148456,29.30846192688989,31.28359202543267,29.148730963444947,25.425340686047537
2025-03-14 09:15:00,28.989,29.184,0.047519871,29.953426125829992,31.408165922736856,29.471213062914998,25.425340686047537
2025-03-14 09:15:00,28.99,29.184,0.054171699,29.312162101410024,31.28644633400459,29.15108105070501,25.425340686047537
