Tg,Ta,Va,MRT,LOT,MOT
28.88,28.608,0.113167703,29.1602075583325,28.884103779166253,
28.881,28.608,0.076981572,29.104249623095996,28.856124811548,
28.881,28.61,0.081649661,29.110574843426434,28.860287421713217,
28.881,28.61,0.105056368,29.148008032784844,28.87900401639242,
28.881,28.611,0.098819523,29.137444751196824,28.874222375598414,
28.883,28.611,0.111697658,29.161012664199006,28.886006332099505,
28.883,28.613,0.119731498,29.17069820460108,28.89184910230054,
28.883,28.613,0.116132959,29.165485814068916,28.889242907034458,
28.885,28.614,0.12183471,29.17678489391494,28.895392446957473,
28.885,28.614,0.079239591,29.110480286567565,28.862240143283785,
28.885,28.614,0.078935148,29.109960682346582,28.861980341173293,
28.885,28.616,0.074089045,29.099981595983422,28.85799079799171,
28.886,28.616,0.092201159,29.13199765176097,28.873998825880484,
28.886,28.616,0.063150861,29.082075987999133,28.849037993999566,
28.886,28.617,0.082283861,29.11493029670413,28.865965148352068,
28.886,28.617,0.074165168,29.10111182272533,28.859055911362667,
28.888,28.617,0.050507421,29.06013077580394,28.838565387901973,
28.888,28.619,0.071754534,29.09888922005956,28.85894461002978,
28.888,28.619,0.06441999,29.085690428087617,28.852345214043808,
28.889,28.62,0.090704875,29.131689073147925,28.875844536573965,
28.889,28.62,0.096106402,29.140249246148187,28.880124623074096,
28.889,28.622,0.085885882,29.12213340793494,28.87206670396747,
28.891,28.622,0.110202207,29.16371724759921,28.892858623799604,
28.891,28.622,0.090958487,29.1340906683493,28.87804533417465,
28.891,28.624,0.082131654,29.11796686675177,28.870983433375883,
28.891,28.624,0.064090021,29.086613137398274,28.855306568699135,
28.892,28.625,0.079467921,29.114523818587656,28.86976190929383,
28.892,28.625,0.066044398,29.091165166464123,28.85808258323206,
28.892,28.625,0.081903343,29.118586277747454,28.871793138873727,
28.894,28.627,0.080812499,29.11876829146746,28.872884145733728,
28.894,28.627,0.071830662,29.10344351037469,28.865221755187342,
28.894,28.628,0.063937727,29.088597702878303,28.85829885143915,
28.894,28.628,0.069394471,29.098388845140846,28.863194422570423,
28.895,28.63,0.054874837,29.07189089003134,28.850945445015668,
28.895,28.63,0.054417812,29.071006244139426,28.85050312206971,
28.895,28.631,0.048856774,30.019882102822862,29.32544105141143,
28.897,28.631,0.071678405,29.105388474571782,28.86819423728589,
28.897,28.633,0.073632307,29.107184243664108,28.87009212183205,
28.897,28.634,0.074571151,29.107985064671652,28.870992532335826,
28.897,28.636,0.092201159,29.134781453606934,28.885390726803465,
28.899,28.636,0.0891578,29.133825224947145,28.88491261247357,
28.899,28.638,0.081827239,29.1203612952109,28.879180647605452,
28.899,28.638,0.114663032,29.16996299561407,28.903981497807038,
28.9,28.638,0.136477996,29.20191396993596,28.919956984967982,
28.9,28.639,0.111140039,29.16594068365606,28.902470341828028,
28.9,28.639,0.136022059,29.200160977830308,28.91958048891515,
28.9,28.641,0.119579454,29.17573666319055,28.908368331595273,
28.902,28.641,0.123785779,29.185673013413805,28.9133365067069,
28.902,28.641,0.116462417,29.175494758954756,28.908247379477377,
28.902,28.642,0.12213878,29.182328834791292,28.912164417395644,
28.903,28.642,0.104904263,29.15988865482001,28.900944327410002,
28.903,28.644,0.132906349,29.196748874684204,28.9203744373421,
28.903,28.644,0.1403026,29.2064361411542,28.9252180705771,
28.905,28.644,0.168330691,29.24601768161216,28.94500884080608,
28.905,28.645,0.142860579,29.212914835221852,28.928957417610924,
28.905,28.645,0.129005033,29.194658680902364,28.91982934045118,
28.905,28.647,0.110202207,29.16654338873593,28.906771694367965,
28.906,28.647,0.138428336,29.206992176059543,28.92699608802977,
28.906,28.648,0.126192804,29.189660129145295,28.918830064572646,
28.906,28.648,0.122442846,29.184579114292774,28.916289557146385,
28.908,28.648,0.158914046,29.236188880498162,28.94209444024908,
28.908,28.65,0.137567159,29.206706940816503,28.92835347040825,
28.908,28.65,0.115271285,29.176679119311984,28.91333955965599,
28.908,28.652,0.099225206,29.15169611160013,28.901848055800066,
28.909,28.652,0.094153836,29.146072587380786,28.899036293690394,
28.909,28.652,0.105690132,29.16307533681959,28.907537668409795,
28.909,28.653,0.099681592,29.15336478296689,28.903182391483444,
28.911,28.653,0.11075984,29.173320001257707,28.913160000628853,
28.911,28.655,0.093291629,29.14584815237754,28.90042407618877,
28.911,28.655,0.083222454,29.130310474449573,28.892655237224787,
28.911,28.656,0.090172284,29.140212215204144,28.89810610760207,
28.913,28.656,0.085961977,29.13747722455298,28.89673861227649,
28.913,28.656,0.07276956,29.11614415060842,28.88607207530421,
28.913,28.658,0.070181178,29.110236218634896,28.88411810931745,
28.914,28.658,0.080178271,29.12846014659118,28.89323007329559,
28.914,28.658,0.062693961,29.099059524966947,28.878529762483474,
28.914,28.659,0.087357017,29.138889396232514,28.898944698116257,
28.914,28.659,0.100315453,29.158325655148133,28.908662827574066,
28.916,28.661,0.095472464,29.15318216642561,28.907091083212805,
28.916,28.661,0.062059368,29.099212878282856,28.88010643914143,
28.916,28.661,0.081345241,29.131477173359144,28.896238586679573,
28.917,28.662,0.076981572,29.125470614838378,28.89373530741919,
28.917,28.662,0.070815605,29.115295161298604,28.8886475806493,
28.917,28.664,0.080964712,29.130186850223424,28.897093425111713,
28.919,28.664,0.064800718,29.107016590665694,28.885508295332848,
28.919,28.664,0.06705961,29.110918340088404,28.887459170044202,
28.919,28.665,0.05761684,29.093542242090507,28.879271121045253,
28.919,28.665,0.052767386,29.084580645644735,28.874790322822367,
28.92,28.667,0.088523733,29.14489540288804,28.90594770144402,
28.92,28.667,0.108808087,29.174494028138213,28.920747014069107,
