Air temperature [C],MRT [C],Air speed [m/s],Relative humidity [%],Metabolic rate [met],Clothing level [clo]
28.77333333333333,29.53327437565728,0.06792058066666666,48.0,1.0,0.57
28.774,29.729657866991698,0.041135019333333335,48.0,1.0,0.57
28.774666666666665,29.52034018920034,0.04786303933333333,48.0,1.0,0.57
28.775000000000002,29.53377211856582,0.057704571,48.0,1.0,0.57
28.775333333333336,29.530181468543333,0.055130548,48.0,1.0,0.57
28.775666666666666,29.53947614643791,0.072362782,48.0,1.0,0.57
28.776333333333337,29.540860933367355,0.07652100933333335,48.0,1.0,0.57
28.777,29.538463017938927,0.062909463,48.0,1.0,0.57
28.77733333333333,29.539678872071914,0.06133285966666666,48.0,1.0,0.57
28.778000000000002,29.51264718728972,0.04392732766666666,48.0,1.0,0.57
28.778000000000002,29.73354272074918,0.04093692499999999,48.0,1.0,0.57
28.779,29.415456258361605,0.04679400733333334,48.0,1.0,0.57
28.77933333333333,29.418816052656496,0.048828509666666665,48.0,1.0,0.57
28.77933333333333,29.40482879369453,0.04738246433333334,48.0,1.0,0.57
28.779666666666667,29.733890003202077,0.05860321300000001,48.0,1.0,0.57
28.781000000000002,29.510963243448902,0.058411719333333334,48.0,1.0,0.57
28.781000000000002,29.71275456806215,0.043275682,48.0,1.0,0.57
28.781666666666666,29.51068598316732,0.04226568333333333,48.0,1.0,0.57
28.781666666666666,29.725464191275098,0.03736713833333333,48.0,1.0,0.57
28.782666666666668,29.525276382226007,0.048346042666666665,48.0,1.0,0.57
28.782666666666668,29.53282970637872,0.05355408133333333,48.0,1.0,0.57
28.78333333333333,29.736176635339273,0.03657775,48.0,1.0,0.57
28.78333333333333,29.536692498370012,0.053526648333333336,48.0,1.0,0.57
28.784666666666666,29.735456028882066,0.040641653,48.0,1.0,0.57
28.78533333333333,29.730081428349553,0.039122757,48.0,1.0,0.57
28.78533333333333,29.719630185231722,0.03989814366666666,48.0,1.0,0.57
28.785666666666668,29.20697104395498,0.06619344,48.0,1.0,0.57
28.786666666666665,29.202444687531283,0.063490001,48.0,1.0,0.57
28.786666666666665,29.523114279425084,0.05961542733333333,48.0,1.0,0.57
28.787333333333333,29.520977882448545,0.05985983066666666,48.0,1.0,0.57
28.788,29.20079072182339,0.06085621733333333,48.0,1.0,0.57
28.788666666666668,29.51477172472382,0.051574119,48.0,1.0,0.57
28.788666666666668,29.72763083561523,0.05581609466666667,48.0,1.0,0.57
28.790000000000003,29.397880347693597,0.048985904999999996,48.0,1.0,0.57
28.790000000000003,29.396315631106745,0.046038374666666666,48.0,1.0,0.57
28.791,29.503870650286597,0.05117321133333333,48.0,1.0,0.57
28.791333333333338,29.41170739394075,0.060115959999999996,48.0,1.0,0.57
28.792,29.418850010777174,0.06066286433333332,48.0,1.0,0.57
28.792333333333335,29.424315884191724,0.058008741333333336,48.0,1.0,0.57
28.793333333333333,29.43261442626715,0.06694989966666666,48.0,1.0,0.57
28.794,29.430500196883298,0.07095319,48.0,1.0,0.57
28.794666666666668,29.225457894598645,0.07378339833333332,48.0,1.0,0.57
28.794666666666668,29.239935938983233,0.083332878,48.0,1.0,0.57
28.795666666666666,29.24580171116118,0.08760078366666667,48.0,1.0,0.57
28.796000000000003,29.24210330689503,0.084497531,48.0,1.0,0.57
28.796000000000003,29.256996321554407,0.09537716533333333,48.0,1.0,0.57
28.796666666666667,29.25237700292911,0.092216263,48.0,1.0,0.57
28.796666666666667,29.252557291412568,0.09197286033333334,48.0,1.0,0.57
28.797666666666668,29.25300377280837,0.09070376466666667,48.0,1.0,0.57
28.798000000000002,29.250265041951252,0.09027531766666667,48.0,1.0,0.57
28.798000000000002,29.545975933856823,0.07215966233333333,48.0,1.0,0.57
28.798666666666666,29.264586724051963,0.097934975,48.0,1.0,0.57
28.799333333333333,29.274035943824327,0.10513224766666666,48.0,1.0,0.57
28.799333333333333,29.272315678302203,0.10358795466666666,48.0,1.0,0.57
28.799666666666667,29.27011834873495,0.10098638,48.0,1.0,0.57
28.799666666666667,29.268124138887305,0.09879087966666666,48.0,1.0,0.57
28.800666666666668,29.259339462104283,0.092886825,48.0,1.0,0.57
28.801000000000002,29.276487131924814,0.10405613366666666,48.0,1.0,0.57
28.801333333333332,29.265869204254233,0.09761558766666667,48.0,1.0,0.57
28.801333333333332,29.271412768572777,0.100728256,48.0,1.0,0.57
28.802000000000003,29.282545025245003,0.10828915633333334,48.0,1.0,0.57
28.80333333333333,29.26261090756543,0.09609464766666666,48.0,1.0,0.57
28.80333333333333,29.56371695679248,0.08221619000000001,48.0,1.0,0.57
28.804000000000002,29.240845241001335,0.08089564133333332,48.0,1.0,0.57
28.804666666666666,29.23977611350324,0.07869975866666667,48.0,1.0,0.57
28.805333333333333,29.265340271517385,0.09521998333333333,48.0,1.0,0.57
28.805666666666667,29.257060470936267,0.08934541766666666,48.0,1.0,0.57
28.805666666666667,29.258145094059994,0.08868113233333334,48.0,1.0,0.57
28.80633333333333,29.26103351898642,0.09104401833333332,48.0,1.0,0.57
28.80666666666667,29.2388516701792,0.07669373666666666,48.0,1.0,0.57
28.807333333333332,29.234778548002776,0.07508303599999999,48.0,1.0,0.57
28.807333333333332,29.23339004183839,0.07180248033333332,48.0,1.0,0.57
28.807333333333332,29.249944749316494,0.08130257733333333,48.0,1.0,0.57
28.808000000000003,29.238837418568266,0.07414183466666667,48.0,1.0,0.57
28.80933333333333,29.243919667300815,0.077625811,48.0,1.0,0.57
28.80933333333333,29.24356484621177,0.07921383333333333,48.0,1.0,0.57
