timestamp,CELLS/Outside/SPN1/Global,timestamp,CELLS/Outside/SPN1/Diffuse,timestamp,CELLS/Outside/SPN1/Sunshine
3:42:00,1.13,3:42:00,0.106666667,,
3:44:00,1.211666667,3:44:00,0.213333333,,
3:46:00,1.223333333,3:46:00,0.293333333,,
3:48:00,1.446666667,3:48:00,0.348333333,,
3:50:00,1.393333333,3:50:00,0.293333333,,
3:52:00,1.301724138,3:52:00,0.193103448,,
3:54:00,0.985,3:54:00,0.08,,
3:56:00,0.865,3:56:00,0.053333333,,
3:58:00,0.77,3:58:00,,,
4:00:00,0.991666667,4:00:00,0.133333333,,
4:02:00,1.123333333,4:02:00,0.106666667,,
4:04:00,1.26,4:04:00,0.16,,
4:06:00,1.605,4:06:00,0.56,,
4:08:00,1.366666667,4:08:00,0.32,,
4:10:00,1.291666667,4:10:00,0.213333333,,
4:12:00,1.381666667,4:12:00,0.426666667,,
4:14:00,1.228333333,4:14:00,0.215,,
4:16:00,1.141666667,4:16:00,0.106666667,,
4:18:00,1.23,4:18:00,0.293333333,,
4:20:00,1.326666667,4:20:00,0.27,,
4:22:00,0.99,4:22:00,0.08,,
4:24:00,1.718333333,4:24:00,0.615,,
4:26:00,1.861666667,4:26:00,0.805,,
4:28:00,1.689830508,4:28:00,0.571186441,,
4:30:00,1.456666667,4:30:00,0.351666667,,
4:32:00,1.518333333,4:32:00,0.455,,
4:34:00,1.081666667,4:34:00,0.16,,
4:36:00,1.326666667,4:36:00,0.266666667,,
4:38:00,1.39,4:38:00,0.321666667,,
4:40:00,1.321666667,4:40:00,0.213333333,,
4:42:00,0.988333333,4:42:00,,,
4:44:00,0.818333333,4:44:00,0.026666667,,
4:46:00,0.783333333,4:46:00,,,
4:48:00,0.863333333,4:48:00,,,
4:50:00,0.725,4:50:00,0.026666667,,
4:52:00,0.726666667,4:52:00,0.026666667,,
4:54:00,0.995,4:54:00,0.053333333,,
4:56:00,1.156666667,4:56:00,0.133333333,,
4:58:00,1.571666667,4:58:00,0.591666667,,
5:00:00,1.236666667,5:00:00,0.213333333,,
5:02:00,1.058333333,5:02:00,0.053333333,,
5:04:00,1.068333333,5:04:00,0.106666667,,
5:06:00,0.965,5:06:00,0.08,,
5:08:00,1.02,5:08:00,0.026666667,,
5:10:00,0.801666667,5:10:00,,,
5:12:00,1.115,5:12:00,0.053333333,,
5:14:00,1.381666667,5:14:00,0.32,,
5:16:00,1.516666667,5:16:00,0.56,,
5:18:00,1.495,5:18:00,0.426666667,,
5:20:00,1.323333333,5:20:00,0.24,,
5:22:00,1.24,5:22:00,0.186666667,,
5:24:00,0.981666667,5:24:00,0.08,,
5:26:00,1.033333333,5:26:00,0.133333333,,
5:28:00,0.773333333,5:28:00,0.053333333,,
5:30:00,0.798333333,5:30:00,0.026666667,,
5:32:00,0.731666667,5:32:00,,,
5:34:00,0.616666667,5:34:00,,,
5:36:00,0.841666667,5:36:00,0.026666667,,
5:38:00,0.876666667,5:38:00,0.026666667,,
5:40:00,0.988333333,5:40:00,0.028333333,,
5:42:00,1.056666667,5:42:00,0.106666667,,
5:44:00,1.071666667,5:44:00,0.053333333,,
5:46:00,0.953333333,5:46:00,0.053333333,,
5:48:00,0.985,5:48:00,0.133333333,,
5:50:00,1.29,5:50:00,0.186666667,,
5:52:00,1.113333333,5:52:00,0.106666667,,
5:54:00,1.22,5:54:00,0.186666667,,
5:56:00,1.171666667,5:56:00,0.16,,
5:58:00,1.54,5:58:00,0.483333333,,
6:00:00,1.975,6:00:00,0.781666667,,
6:02:00,1.823333333,6:02:00,0.693333333,,
6:04:00,2.146666667,6:04:00,0.895,,
6:06:00,2.676666667,6:06:00,1.358333333,,
6:08:00,3.443333333,6:08:00,2.185,,
6:10:00,4.306666667,6:10:00,3.013333333,,
6:12:00,5.168333333,6:12:00,4.04,,
6:14:00,5.825,6:14:00,4.551666667,,
6:16:00,6.643333333,6:16:00,5.391666667,,
6:18:00,7.346666667,6:18:00,5.935,,
6:20:00,8.201666667,6:20:00,6.845,,
6:22:00,10.02,6:22:00,8.601666667,,
6:24:00,11.38833333,6:24:00,10.04666667,,
6:26:00,12.72333333,6:26:00,11.33833333,,
6:28:00,13.48666667,6:28:00,12.09333333,,
6:30:00,14.38,6:30:00,12.945,,
6:32:00,17.10166667,6:32:00,14.52,,
6:34:00,19.63333333,6:34:00,14.93166667,,
6:36:00,20.88333333,6:36:00,15.29,,
6:38:00,23.01833333,6:38:00,16.57166667,,
6:40:00,24.95666667,6:40:00,16.90833333,,
6:42:00,27.75333333,6:42:00,18.05,,
6:44:00,30.73666667,6:44:00,19.19833333,,
6:46:00,33.49166667,6:46:00,19.92833333,,
6:48:00,36.13,6:48:00,21.30666667,,
6:50:00,39.19,6:50:00,22.72166667,,
6:52:00,43.62166667,6:52:00,23.98333333,,
6:54:00,46.985,6:54:00,24.435,,
6:56:00,51.02333333,6:56:00,25.58666667,,
6:58:00,55.04166667,6:58:00,26.665,,
