Minute,T_air (°C),T_globe (°C),Air_speed (m/s)
2025-03-14 09:15:00,28.7418,29.006866666666667,0.04961324908333333
2025-03-14 09:16:00,28.765183333333333,29.030916666666666,0.08107091181666666
2025-03-14 09:17:00,28.793133333333333,29.05525,0.038374795850000004
2025-03-14 09:18:00,28.809783333333332,29.08151666666667,0.06443063315
2025-03-14 09:19:00,28.8038,29.094033333333336,0.04920023313333333
2025-03-14 09:20:00,28.8211,29.101433333333333,0.04410231908333333
2025-03-14 09:21:00,28.844716666666667,29.1157,0.05245383676666667
2025-03-14 09:22:00,28.874000000000002,29.1361,0.01795822965
2025-03-14 09:23:00,28.906033333333333,29.163083333333336,0.04010823641666667
2025-03-14 09:24:00,28.9466,29.1957,0.05718133958333334
2025-03-14 09:25:00,28.98776666666667,29.229316666666666,0.0690069153
2025-03-14 09:26:00,29.023983333333334,29.262133333333335,0.07915968741666667
2025-03-14 09:27:00,29.048683333333333,29.289649999999998,0.06440002845
2025-03-14 09:28:00,29.07635,29.316333333333333,0.0825316265
2025-03-14 09:29:00,29.102083333333333,29.342666666666666,0.06424190011666667
2025-03-14 09:30:00,29.12523333333333,29.369183333333336,0.06046789923333333
2025-03-14 09:31:00,29.152716666666667,29.397616666666668,0.0819776703
2025-03-14 09:32:00,29.198500000000003,29.4274,0.06924356006666667
2025-03-14 09:33:00,29.229716666666665,29.459633333333333,0.12148986561666666
2025-03-14 09:34:00,29.288783333333335,29.4898,0.41570466391666666
2025-03-14 09:35:00,29.3109,29.506966666666663,0.47373672046666665
2025-03-14 09:36:00,29.306883333333335,29.506050000000002,0.5203061894333333
2025-03-14 09:37:00,29.302733333333332,29.497016666666664,0.5506022069166666
2025-03-14 09:38:00,29.3149,29.4894,0.37295186226666666
2025-03-14 09:39:00,29.33676666666667,29.4878,0.5115496834333333
2025-03-14 09:40:00,29.372733333333333,29.493466666666666,0.5547416827333334
2025-03-14 09:41:00,29.39561666666667,29.50385,0.39595924233333335
2025-03-14 09:42:00,29.43355,29.519716666666667,0.4873119725833333
2025-03-14 09:43:00,29.474866666666667,29.541533333333334,0.5349229692333334
2025-03-14 09:44:00,29.497116666666667,29.56395,0.4843196396833333
2025-03-14 09:45:00,29.4986,29.581916666666665,0.4078623302
2025-03-14 09:46:00,29.490066666666667,29.592333333333332,0.6110055948833334
2025-03-14 09:47:00,29.461033333333333,29.59505,0.5062847330666667
2025-03-14 09:48:00,29.39923333333333,29.58065,0.4051028213333333
2025-03-14 09:49:00,29.3125,29.545266666666667,0.5794097378666667
