,Draught Rate,ASHRAE Standard,ISO 7730 Standard,Date/Time
1284,31.663562794528364,X,X,3/14/2025 9:36
1285,35.16479987275843,X,X,3/14/2025 9:36
1286,34.65163305865764,X,X,3/14/2025 9:36
1287,24.24548845238876,X,Cat III,3/14/2025 9:36
1288,33.99484642282814,X,X,3/14/2025 9:36
1304,20.883975376427887,X,Cat III,3/14/2025 9:36
1305,30.037502535987752,X,X,3/14/2025 9:36
1306,32.46368724307331,X,X,3/14/2025 9:36
1307,29.598370203628885,X,Cat III,3/14/2025 9:36
1308,23.56090400338329,X,Cat III,3/14/2025 9:36
1309,40.47302340080977,X,X,3/14/2025 9:36
1328,27.384983263239167,X,Cat III,3/14/2025 9:37
1329,40.05637064265007,X,X,3/14/2025 9:37
1330,37.2733265852036,X,X,3/14/2025 9:37
1331,37.11714279604789,X,X,3/14/2025 9:37
1332,34.52031039266379,X,X,3/14/2025 9:37
1333,20.09343810471708,X,Cat III,3/14/2025 9:37
1349,23.196826765196423,X,Cat III,3/14/2025 9:37
1350,36.841246448777234,X,X,3/14/2025 9:37
1351,45.05469683112641,X,X,3/14/2025 9:37
1352,42.08877888209269,X,X,3/14/2025 9:37
1353,36.807634265254705,X,X,3/14/2025 9:37
1354,44.183172760235415,X,X,3/14/2025 9:37
1355,29.084045640229803,X,Cat III,3/14/2025 9:37
1356,21.956767330904754,X,Cat III,3/14/2025 9:37
1372,28.465320527466975,X,Cat III,3/14/2025 9:37
1373,37.79656631048325,X,X,3/14/2025 9:37
1374,27.39946414406621,X,Cat III,3/14/2025 9:37
1375,26.263174383041612,X,Cat III,3/14/2025 9:37
1376,20.750416538238515,X,Cat III,3/14/2025 9:37
1377,33.067826864632494,X,X,3/14/2025 9:37
1378,27.948782035292446,X,Cat III,3/14/2025 9:37
1395,28.533213292671437,X,Cat III,3/14/2025 9:38
1396,25.722883598246366,X,Cat III,3/14/2025 9:38
1397,25.898074604566226,X,Cat III,3/14/2025 9:38
1398,28.32039126584299,X,Cat III,3/14/2025 9:38
1399,20.500084284167695,X,Cat III,3/14/2025 9:38
1400,24.03642028609419,X,Cat III,3/14/2025 9:38
1418,28.693898421680505,X,Cat III,3/14/2025 9:38
1419,28.19614599568221,X,Cat III,3/14/2025 9:38
1420,37.7758671311693,X,X,3/14/2025 9:38
1421,41.14487296033203,X,X,3/14/2025 9:38
1422,28.67996655509438,X,Cat III,3/14/2025 9:38
1439,28.44431360395371,X,Cat III,3/14/2025 9:38
1440,26.571590211007436,X,Cat III,3/14/2025 9:39
1441,22.391424224984632,X,Cat III,3/14/2025 9:39
1442,27.249692064196374,X,Cat III,3/14/2025 9:39
1443,28.047264068260244,X,Cat III,3/14/2025 9:39
1444,32.997063783525455,X,X,3/14/2025 9:39
1445,22.816595862328402,X,Cat III,3/14/2025 9:39
1461,27.469868105520405,X,Cat III,3/14/2025 9:39
1462,28.759899541676393,X,Cat III,3/14/2025 9:39
1464,31.91401963999854,X,X,3/14/2025 9:39
1465,43.15676110869667,X,X,3/14/2025 9:39
1466,28.23211782787507,X,Cat III,3/14/2025 9:39
1468,20.74541972375369,X,Cat III,3/14/2025 9:39
1483,29.55499402996516,X,Cat III,3/14/2025 9:39
1484,31.470508214526046,X,X,3/14/2025 9:39
1485,33.11051195428225,X,X,3/14/2025 9:39
1486,31.61107552673757,X,X,3/14/2025 9:39
1487,30.82469902669129,X,X,3/14/2025 9:39
1488,37.850901601592064,X,X,3/14/2025 9:39
1489,28.505977212475745,X,Cat III,3/14/2025 9:39
1490,21.018841861183482,X,Cat III,3/14/2025 9:39
1506,37.27778840583315,X,X,3/14/2025 9:40
1507,41.51930507522762,X,X,3/14/2025 9:40
1508,37.777410788029194,X,X,3/14/2025 9:40
1509,39.86148932068182,X,X,3/14/2025 9:40
1510,37.05300472444119,X,X,3/14/2025 9:40
1511,20.24633175674953,X,Cat III,3/14/2025 9:40
1528,24.231902810779943,X,Cat III,3/14/2025 9:40
1529,30.468349971219478,X,X,3/14/2025 9:40
1530,37.075117990567534,X,X,3/14/2025 9:40
1531,42.00637842830998,X,X,3/14/2025 9:40
1532,34.56654360358343,X,X,3/14/2025 9:40
1533,28.69944052694296,X,Cat III,3/14/2025 9:40
1534,29.548755043819806,X,Cat III,3/14/2025 9:40
1551,21.85355982969952,X,Cat III,3/14/2025 9:40
1552,31.210434131464588,X,X,3/14/2025 9:40
1553,36.53367362142101,X,X,3/14/2025 9:40
1554,35.94070897084957,X,X,3/14/2025 9:40
1555,36.80115765324427,X,X,3/14/2025 9:40
1556,20.90892325290055,X,Cat III,3/14/2025 9:40
