,Draught Rate,ASHRAE Standard,ISO 7730 Standard,Date/Time
6863,27.87190829763689,X,Cat III,3/14/2025 11:09
6864,25.740294869479182,X,Cat III,3/14/2025 11:09
6866,21.648223258949653,X,Cat III,3/14/2025 11:09
6868,30.210182648316753,X,X,3/14/2025 11:09
6869,21.246955688933568,X,Cat III,3/14/2025 11:09
6870,31.11964917783935,X,X,3/14/2025 11:09
6871,24.839892172283072,X,Cat III,3/14/2025 11:09
6876,20.061586276535287,X,Cat III,3/14/2025 11:09
6877,35.865696334648064,X,X,3/14/2025 11:09
6878,43.123004765862056,X,X,3/14/2025 11:09
6879,31.15440045614842,X,X,3/14/2025 11:09
6880,22.813593118145068,X,Cat III,3/14/2025 11:09
6882,20.305117087507664,X,Cat III,3/14/2025 11:09
6884,26.405534899893148,X,Cat III,3/14/2025 11:09
6885,30.163756291982388,X,X,3/14/2025 11:09
6886,28.255934059003103,X,Cat III,3/14/2025 11:09
6891,20.5491706186874,X,Cat III,3/14/2025 11:09
6897,27.397609996272205,X,Cat III,3/14/2025 11:09
6898,31.366024216432947,X,X,3/14/2025 11:09
6899,40.45496178623114,X,X,3/14/2025 11:09
6900,41.762566515386794,X,X,3/14/2025 11:10
6901,21.162086130841857,X,Cat III,3/14/2025 11:10
6902,20.857918946193294,X,Cat III,3/14/2025 11:10
6905,28.442544491190798,X,Cat III,3/14/2025 11:10
6906,38.010226962972006,X,X,3/14/2025 11:10
6907,30.559865123533942,X,X,3/14/2025 11:10
6908,23.101374173045883,X,Cat III,3/14/2025 11:10
6915,20.35820948511238,X,Cat III,3/14/2025 11:10
6916,22.604938250419295,X,Cat III,3/14/2025 11:10
6917,24.032918611486057,X,Cat III,3/14/2025 11:10
6918,20.705095004129163,X,Cat III,3/14/2025 11:10
6919,20.509091327503512,X,Cat III,3/14/2025 11:10
6921,27.11143435321081,X,Cat III,3/14/2025 11:10
6922,40.17194244345637,X,X,3/14/2025 11:10
6923,39.55118124716913,X,X,3/14/2025 11:10
6924,23.304890125754397,X,Cat III,3/14/2025 11:10
6925,22.652716389925697,X,Cat III,3/14/2025 11:10
6926,27.354211354276064,X,Cat III,3/14/2025 11:10
6927,30.9606556469837,X,X,3/14/2025 11:10
6928,30.86120797331617,X,X,3/14/2025 11:10
6929,40.454833733299914,X,X,3/14/2025 11:10
6930,41.025137188665916,X,X,3/14/2025 11:10
6931,22.671588345314827,X,Cat III,3/14/2025 11:10
6939,26.727983785990833,X,Cat III,3/14/2025 11:10
6940,24.772453051988993,X,Cat III,3/14/2025 11:10
6941,34.40078059796727,X,X,3/14/2025 11:10
6942,39.50624335502092,X,X,3/14/2025 11:10
6943,42.976335266718344,X,X,3/14/2025 11:10
6944,37.847115246020195,X,X,3/14/2025 11:10
6945,35.79654546745174,X,X,3/14/2025 11:10
6946,36.06316651862505,X,X,3/14/2025 11:10
6947,30.90404894258514,X,X,3/14/2025 11:10
6948,29.09453321235903,X,Cat III,3/14/2025 11:10
6949,27.823685114868177,X,Cat III,3/14/2025 11:10
6950,32.14148685328244,X,X,3/14/2025 11:10
6951,28.157253042033993,X,Cat III,3/14/2025 11:10
6952,31.059455579013843,X,X,3/14/2025 11:10
6953,23.20217460298398,X,Cat III,3/14/2025 11:10
6954,23.336523039049787,X,Cat III,3/14/2025 11:10
6963,20.48447395550524,X,Cat III,3/14/2025 11:11
6964,25.90821940793562,X,Cat III,3/14/2025 11:11
6965,31.713360028515567,X,X,3/14/2025 11:11
6966,27.69303443217672,X,Cat III,3/14/2025 11:11
6967,33.58494188958633,X,X,3/14/2025 11:11
6968,35.07353326395621,X,X,3/14/2025 11:11
6969,31.18623829581532,X,X,3/14/2025 11:11
6970,32.69505413720889,X,X,3/14/2025 11:11
6972,32.13214348135192,X,X,3/14/2025 11:11
6973,40.1812951397697,X,X,3/14/2025 11:11
6988,35.538987973455505,X,X,3/14/2025 11:11
6989,35.74805930698009,X,X,3/14/2025 11:11
6990,30.492639119904922,X,X,3/14/2025 11:11
6991,34.29775024873378,X,X,3/14/2025 11:11
6992,39.10039582489103,X,X,3/14/2025 11:11
6993,29.440080192883368,X,Cat III,3/14/2025 11:11
6994,26.233023834322523,X,Cat III,3/14/2025 11:11
6995,28.101622349383543,X,Cat III,3/14/2025 11:11
6996,32.04751046174813,X,X,3/14/2025 11:11
6997,29.152328935536094,X,Cat III,3/14/2025 11:11
