Date & Time,T_air,T_globe,Air_speed,T_MRT,T_cl,T_OP,T_MOP
2025-03-14 09:15:00,28.731,28.995,0.028589511,30.11877328549849,31.386667227553044,29.424886642749247,25.155771973495597
2025-03-14 09:15:00,28.731,28.997,0.000239328,30.131343123055274,31.390930153674184,29.431171561527638,25.155771973495597
2025-03-14 09:15:00,28.731,28.997,0.000161554,30.131343123055274,31.391601501881773,29.431171561527638,25.155771973495597
2025-03-14 09:15:00,28.732,28.997,0.000161554,30.126044764169933,31.391052698156255,29.429022382084966,25.155771973495597
2025-03-14 09:15:00,28.732,28.997,0.000161554,30.126044764169933,31.392227556379506,29.429022382084966,25.155771973495597
2025-03-14 09:15:00,28.732,28.997,0.035103686,30.126044764169933,31.39373808482093,29.429022382084966,25.155771973495597
2025-03-14 09:15:00,28.732,28.998,0.048456523,30.13233193883184,31.395786092264803,29.43216596941592,25.155771973495597
2025-03-14 09:15:00,28.734,28.998,0.004775156,30.121740043373563,31.394857286636817,29.427870021686783,25.155771973495597
2025-03-14 09:15:00,28.734,28.998,8.38e-05,30.121740043373563,31.395696465397684,29.427870021686783,25.155771973495597
2025-03-14 09:15:00,28.734,28.998,8.38e-05,30.121740043373563,31.39703914884408,29.427870021686783,25.155771973495597
2025-03-14 09:15:00,28.734,29.0,0.000161554,30.134309570823575,31.40012717313118,29.43415478541179,25.155771973495597
2025-03-14 09:15:00,28.735,29.0,0.061948922,29.190029270024013,31.221034587353817,28.962514635012006,25.155771973495597
2025-03-14 09:15:00,28.735,29.0,0.052972888,29.17300918034516,31.21829567451572,28.95400459017258,25.155771973495597
2025-03-14 09:15:00,28.735,29.0,0.057100634,29.1809690672211,31.221155126173667,28.95798453361055,25.155771973495597
2025-03-14 09:15:00,28.735,29.001,0.046081511,30.135298387038745,31.404815204181297,29.435149193519372,25.155771973495597
2025-03-14 09:15:00,28.737,29.001,0.048611398,30.12470680255251,31.404389907002255,29.430853401276252,25.155771973495597
2025-03-14 09:15:00,28.737,29.001,0.030968136,30.12470680255251,31.404557740006226,29.430853401276252,25.155771973495597
2025-03-14 09:15:00,28.737,29.001,0.00389406,30.12470680255251,31.406068234817145,29.430853401276252,25.155771973495597
2025-03-14 09:15:00,28.737,29.003,0.000161554,30.137276019907688,31.40965972007129,29.43713800995384,25.155771973495597
2025-03-14 09:15:00,28.738,29.003,0.000161554,30.13197797212007,31.409614422969167,29.434988986060034,25.155771973495597
2025-03-14 09:15:00,28.738,29.003,8.38e-05,30.13197797212007,31.41045357993241,29.434988986060034,25.155771973495597
2025-03-14 09:15:00,28.738,29.003,8.38e-05,30.13197797212007,31.411292735659647,29.434988986060034,25.155771973495597
2025-03-14 09:15:00,28.738,29.004,0.000161554,30.138264836561518,31.413844185819315,29.43813241828076,25.155771973495597
2025-03-14 09:15:00,28.74,29.004,0.007884326,30.127673563035273,31.41308322892444,29.433836781517634,25.155771973495597
2025-03-14 09:15:00,28.74,29.004,0.034380073,30.127673563035273,31.413922380450803,29.433836781517634,25.155771973495597
2025-03-14 09:15:00,28.74,29.004,0.041459179,30.127673563035273,31.414761530741195,29.433836781517634,25.155771973495597
2025-03-14 09:15:00,28.74,29.006,0.050134232,29.174011203665827,31.233092007033044,28.95700560183291,25.155771973495597
2025-03-14 09:15:00,28.742,29.006,0.05227619,29.176984151692636,31.235102049609054,28.95949207584632,25.155771973495597
2025-03-14 09:15:00,28.742,29.006,0.038514387,30.129651404081244,31.41843116701893,29.435825702040624,25.155771973495597
2025-03-14 09:15:00,28.742,29.006,0.045048747,30.129651404081244,31.419773796057086,29.435825702040624,25.155771973495597
2025-03-14 09:15:00,28.742,29.008,0.050521361,29.176784419662,31.238421532445603,28.959392209831,25.155771973495597
2025-03-14 09:15:00,28.743,29.008,0.033036099,30.136922316080415,31.424159055159866,29.439961158040205,25.155771973495597
2025-03-14 09:15:00,28.743,29.008,0.048921143,30.136922316080415,31.424830363431646,29.439961158040205,25.155771973495597
2025-03-14 09:15:00,28.743,29.008,0.054495161,29.18395874565374,31.243615811983585,28.963479372826868,25.155771973495597
2025-03-14 09:15:00,28.743,29.009,0.05170848,29.180149241785102,31.24389732123737,28.96157462089255,25.155771973495597
2025-03-14 09:15:00,28.745,29.009,0.052431015,29.18028245478871,31.245534246307674,28.962641227394357,25.155771973495597
2025-03-14 09:15:00,28.745,29.009,0.061149604,29.196828038452225,31.249525851712026,28.970914019226115,25.155771973495597
2025-03-14 09:15:00,28.745,29.009,0.072180722,29.21646011986917,31.25444187970976,28.980730059934587,25.155771973495597
2025-03-14 09:15:00,28.745,29.011,0.072335294,29.22029418924552,31.256179776977046,28.982647094622763,25.155771973495597
2025-03-14 09:15:00,28.746,29.011,0.071691233,29.218393426536522,31.257126909791026,28.98219671326826,25.155771973495597
2025-03-14 09:15:00,28.746,29.011,0.074241519,29.222784414335933,31.258467339568696,28.984392207167964,25.155771973495597
2025-03-14 09:15:00,28.746,29.011,0.082404096,29.236447642510598,31.262414409268047,28.991223821255296,25.155771973495597
2025-03-14 09:15:00,28.746,29.012,0.075194522,29.226212013333054,31.262310108124158,28.986106006666525,25.155771973495597
2025-03-14 09:15:00,28.748,29.012,0.070918315,29.217271529824984,31.2617141445953,28.982635764912494,25.155771973495597
2025-03-14 09:15:00,28.748,29.012,0.080499109,29.233469223846555,31.266144107678183,28.99073461192328,25.155771973495597
2025-03-14 09:15:00,28.748,29.012,0.081760551,29.235542731494093,31.267378658140117,28.99177136574705,25.155771973495597
